Link,Company,Title,Exp,Edu
https://www.jobkorea.co.kr/Recruit/GI_Read/41183486?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜아성다이소,2023년 상반기 아성다이소 및 관계사 신입/경력사원 공개채용,신입·경력,대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41116963?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜에이알컴즈,"백엔드 개발자 경력직 채용 (PHP/CodeIgniter, Python)",경력2년↑,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/41072908?Oem_Code=C1&logpath=1&stext=러시아&listno=,농업회사법인에피젠,"웹개발자,프론트엔드,PHP,자바스크립트,API연동,파이썬",경력1년↑,초대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41127211?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜페이타랩,"[패스오더] 급성장중인 스타트업 `백엔드 개발자` 채용(Spring, Python, MSA)",신입·경력1년↑,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/41051576?Oem_Code=C1&logpath=1&stext=러시아&listno=,소프트온,"JAVA, R/Python , 데이터 컨설팅 개발 경력자 채용 (정규직/프리랜서)",경력7년↑,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/41016889?Oem_Code=C1&logpath=1&stext=러시아&listno=,유비넷트,"일본 도쿄, 시스템 개발, 모바일 앱개발,JAVA, Python, 화상 인식 개발",경력3년↑,대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41092933?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜메디터레이니언웍스,"웹, 응용프로그램 경력직 (.NET, JAVA, Python 등)",경력,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/41101287?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜그루넷,빅데이터/DataAnalysis/Python/JAVA/SAS 인재 채용,신입·경력1년↑,초대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41051973?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜컴투스,[컴투스 그룹] 각 부문별 경력/신입 인재채용,신입·경력,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/41064246?Oem_Code=C1&logpath=1&stext=러시아&listno=,(재)국제인재능력개발원,프로그래밍강사 모집(자바 c언어 파이썬등),경력1년↑,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/41215925?Oem_Code=C1&logpath=1&stext=러시아&listno=,온라인팜㈜,[한미약품 관계사] 2023년 온라인팜 각 부문 신입/경력 채용,신입·경력,학력무관
